Observatory Test 7-29-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3,2015/8/3
time,17:31:00,17:32:00,17:33:00,17:34:00,17:35:00,17:36:00,17:37:00,17:38:00,17:39:00,17:40:00,17:41:00,17:42:00,17:43:00,17:44:00,17:45:00,17:46:00,17:47:00,17:48:00,17:49:00,17:50:00,17:51:00,17:52:00,17:53:00,17:54:00,17:55:00,17:56:00,17:57:00,17:58:00,17:59:00,18:00:00,18:01:00,18:02:00,18:03:00,18:04:00,18:05:00,18:06:00,18:07:00,18:08:00,18:09:00,18:10:00,18:11:00,18:12:00,18:13:00,18:14:00,18:15:00,18:16:00,18:17:00,18:18:00,18:19:00,18:20:00,18:21:00,18:22:00,18:23:00,18:24:00,18:25:00,18:26:00,18:27:00,18:28:00,18:29:00,18:30:00,18:31:00,18:32:00,18:33:00,18:34:00,18:35:00,18:36:00,18:37:00,18:38:00,18:39:00,18:40:00,18:41:00,18:42:00,18:43:00,18:44:00,18:45:00,18:46:00,18:47:00,18:48:00,18:49:00,18:50:00,18:51:00,18:52:00,18:53:00,18:54:00,18:55:00,18:56:00,18:57:00,18:58:00,18:59:00,19:00:00,19:01:00,19:02:00,19:03:00,19:04:00,19:05:00,19:06:00,19:07:00,19:08:00,19:09:00,19:10:00,19:11:00,19:12:00,19:13:00,19:14:00,19:15:00,19:16:00,19:17:00,19:18:00,19:19:00,19:20:00,19:21:00,19:22:00,19:23:00,19:24:00,19:25:00,19:26:00,19:27:00,19:28:00,19:29:00,19:30:00,19:31:00,19:32:00,19:33:00,19:34:00,19:35:00,19:36:00,19:37:00,19:38:00,19:39:00,19:40:00,19:41:00,19:42:00,19:43:00,19:44:00,19:45:00,19:46:00,19:47:00,19:48:00,19:49:00,19:50:00,19:51:00,19:52:00,19:53:00,19:54:00,19:55:00,19:56:00,19:57:00,19:58:00,19:59:00,20:00:00,20:01:00,20:02:00,20:03:00,20:04:00,20:05:00,20:06:00,20:07:00,20:08:00,20:09:00,20:10:00,20:11:00,20:12:00,20:13:00,20:14:00,20:15:00,20:16:00,20:17:00,20:18:00,20:19:00,20:20:00,20:21:00,20:22:00,20:23:00,20:24:00,20:25:00,20:26:00,20:27:00,20:28:00,20:29:00,20:30:00
Exposure time,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Number of times of an average,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Temperature,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,34,35,35,35,35,35,35,35,35,35,34,34,35,35,34,34,35,34,34,34,34,35,35,34,34,35,34,34,34,34,34,35,34,35,34,34,34,34,34,34,34,34,34,35,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength,S1_CH1,S2_CH1,S3_CH1,S4_CH1,S5_CH1,S6_CH1,S7_CH1,S8_CH1,S9_CH1,S10_CH1,S11_CH1,S12_CH1,S13_CH1,S14_CH1,S15_CH1,S16_CH1,S17_CH1,S18_CH1,S19_CH1,S20_CH1,S21_CH1,S22_CH1,S23_CH1,S24_CH1,S25_CH1,S26_CH1,S27_CH1,S28_CH1,S29_CH1,S30_CH1,S31_CH1,S32_CH1,S33_CH1,S34_CH1,S35_CH1,S36_CH1,S37_CH1,S38_CH1,S39_CH1,S40_CH1,S41_CH1,S42_CH1,S43_CH1,S44_CH1,S45_CH1,S46_CH1,S47_CH1,S48_CH1,S49_CH1,S50_CH1,S51_CH1,S52_CH1,S53_CH1,S54_CH1,S55_CH1,S56_CH1,S57_CH1,S58_CH1,S59_CH1,S60_CH1,S61_CH1,S62_CH1,S63_CH1,S64_CH1,S65_CH1,S66_CH1,S67_CH1,S68_CH1,S69_CH1,S70_CH1,S71_CH1,S72_CH1,S73_CH1,S74_CH1,S75_CH1,S76_CH1,S77_CH1,S78_CH1,S79_CH1,S80_CH1,S81_CH1,S82_CH1,S83_CH1,S84_CH1,S85_CH1,S86_CH1,S87_CH1,S88_CH1,S89_CH1,S90_CH1,S91_CH1,S92_CH1,S93_CH1,S94_CH1,S95_CH1,S96_CH1,S97_CH1,S98_CH1,S99_CH1,S100_CH1,S101_CH1,S102_CH1,S103_CH1,S104_CH1,S105_CH1,S106_CH1,S107_CH1,S108_CH1,S109_CH1,S110_CH1,S111_CH1,S112_CH1,S113_CH1,S114_CH1,S115_CH1,S116_CH1,S117_CH1,S118_CH1,S119_CH1,S120_CH1,S121_CH1,S122_CH1,S123_CH1,S124_CH1,S125_CH1,S126_CH1,S127_CH1,S128_CH1,S129_CH1,S130_CH1,S131_CH1,S132_CH1,S133_CH1,S134_CH1,S135_CH1,S136_CH1,S137_CH1,S138_CH1,S139_CH1,S140_CH1,S141_CH1,S142_CH1,S143_CH1,S144_CH1,S145_CH1,S146_CH1,S147_CH1,S148_CH1,S149_CH1,S150_CH1,S151_CH1,S152_CH1,S153_CH1,S154_CH1,S155_CH1,S156_CH1,S157_CH1,S158_CH1,S159_CH1,S160_CH1,S161_CH1,S162_CH1,S163_CH1,S164_CH1,S165_CH1,S166_CH1,S167_CH1,S168_CH1,S169_CH1,S170_CH1,S171_CH1,S172_CH1,S173_CH1,S174_CH1,S175_CH1,S176_CH1,S177_CH1,S178_CH1,S179_CH1,S180_CH1
316.448,-44,-52,-48,-50,-48,-47,-51,-50,-50,-48,-50,-48,-51,-46,-48,-51,-48,-47,-48,-51,-49,-47,-51,-49,-47,-47,-49,-47,-47,-53,-51,-48,-52,-52,-49,-49,-48,-47,-49,-49,-54,-45,-52,-50,-48,-52,-47,-47,-50,-50,-48,-46,-43,-50,-49,-51,-48,-45,-48,-52,-47,-48,-49,-47,-52,-48,-49,-50,-47,-47,-46,-50,-51,-49,-45,-45,-52,-49,-49,-48,-49,-47,-49,-48,-45,-48,-47,-49,-51,-52,-53,-45,-45,-46,-48,-49,-46,-49,-49,-49,-47,-48,-46,-52,-50,-53,-48,-51,-48,-49,-49,-50,-44,-46,-49,-48,-52,-49,-50,-48,-53,-48,-45,-51,-54,-52,-50,-50,-49,-50,-46,-50,-48,-51,-47,-52,-52,-50,-47,-50,-45,-48,-48,-55,-52,-49,-49,-50,-48,-52,-51,-48,-47,-52,-48,-50,-49,-48,-49,-51,-52,-48,-49,-50,-50,-47,-47,-47,-54,-49,-51,-52,-49,-53,-53,-53,-48,-52,-48,-50
317.208,-49,-52,-50,-49,-49,-47,-53,-48,-53,-51,-50,-47,-51,-49,-51,-52,-51,-50,-50,-51,-54,-49,-49,-46,-49,-48,-50,-47,-50,-50,-52,-51,-50,-49,-50,-49,-44,-50,-50,-47,-50,-47,-49,-53,-48,-48,-52,-48,-52,-47,-52,-47,-48,-53,-52,-51,-50,-47,-51,-48,-49,-49,-51,-48,-48,-52,-44,-50,-47,-52,-48,-51,-51,-50,-49,-47,-52,-49,-53,-48,-50,-50,-50,-50,-49,-48,-52,-49,-45,-53,-51,-53,-49,-52,-49,-47,-47,-51,-46,-51,-52,-48,-46,-46,-45,-53,-50,-46,-47,-52,-52,-49,-50,-49,-52,-47,-53,-44,-49,-50,-49,-47,-44,-51,-48,-52,-45,-51,-46,-49,-48,-49,-51,-49,-50,-49,-52,-48,-48,-47,-49,-48,-46,-49,-49,-45,-48,-50,-48,-50,-50,-48,-51,-53,-49,-53,-49,-48,-46,-50,-52,-51,-50,-52,-52,-51,-51,-49,-46,-50,-50,-50,-51,-53,-52,-47,-53,-50,-50,-49
317.967,-48,-47,-50,-52,-45,-46,-50,-51,-51,-46,-46,-47,-47,-51,-52,-49,-50,-46,-49,-50,-48,-46,-50,-48,-53,-48,-49,-51,-49,-50,-48,-44,-47,-50,-51,-46,-51,-52,-50,-55,-49,-49,-49,-51,-45,-51,-52,-47,-50,-46,-50,-52,-51,-48,-50,-49,-49,-46,-49,-50,-47,-50,-47,-51,-51,-50,-48,-50,-48,-54,-46,-49,-45,-52,-51,-51,-50,-50,-48,-50,-50,-52,-51,-47,-49,-53,-51,-50,-48,-51,-50,-51,-44,-49,-48,-51,-48,-47,-49,-53,-48,-48,-50,-51,-48,-49,-51,-46,-52,-53,-51,-51,-52,-48,-50,-48,-46,-47,-46,-50,-51,-50,-48,-47,-50,-50,-47,-47,-43,-47,-48,-49,-48,-48,-51,-51,-47,-51,-51,-46,-43,-51,-50,-52,-51,-48,-49,-53,-55,-47,-45,-52,-48,-53,-49,-47,-50,-52,-49,-51,-51,-50,-54,-48,-52,-48,-53,-52,-53,-49,-51,-53,-50,-49,-51,-56,-50,-53,-46,-50
318.727,-49,-50,-54,-48,-53,-48,-53,-52,-44,-52,-48,-51,-46,-54,-52,-51,-51,-51,-48,-48,-51,-49,-49,-51,-50,-48,-49,-50,-49,-51,-49,-45,-52,-50,-46,-50,-46,-49,-51,-48,-47,-51,-48,-54,-49,-46,-46,-46,-49,-46,-49,-50,-53,-52,-47,-45,-47,-48,-50,-48,-50,-48,-45,-51,-52,-48,-47,-48,-50,-47,-48,-50,-46,-49,-49,-47,-54,-47,-45,-50,-52,-48,-49,-51,-47,-49,-49,-50,-47,-53,-51,-48,-49,-49,-50,-52,-49,-50,-50,-52,-51,-48,-53,-50,-51,-48,-48,-42,-49,-50,-52,-49,-52,-51,-54,-49,-47,-47,-46,-52,-50,-53,-49,-47,-48,-50,-51,-47,-50,-50,-50,-50,-51,-50,-49,-49,-50,-49,-48,-47,-52,-49,-45,-48,-50,-51,-49,-46,-48,-52,-50,-51,-50,-51,-50,-51,-50,-52,-47,-53,-50,-50,-50,-48,-47,-51,-50,-50,-50,-48,-54,-49,-53,-48,-50,-50,-50,-49,-51,-48
